CCTV-1高清,rtp://239.253.92.83:8012
CCTV-2高清,rtp://239.253.92.190:6065
CCTV-3高清,rtp://239.253.92.191:6057
CCTV-4高清,rtp://239.253.92.251:6141
CCTV-5高清,rtp://239.253.92.181:6046
CCTV-6高清,rtp://239.253.92.193:6058
CCTV-7高清,rtp://239.253.92.194:6059
CCTV-8高清,rtp://239.253.92.195:6060
CCTV-9高清,rtp://239.253.92.107:6020
CCTV-10高清,rtp://239.253.92.196:6061
CCTV-11高清,rtp://239.253.93.153:6321
CCTV-12高清,rtp://239.253.92.197:6062
CCTV-13高清,rtp://239.253.92.13:8008
CCTV-14高清,rtp://239.253.92.198:6063
CCTV-15高清,rtp://239.253.93.154:6322
CCTV-16高清,rtp://239.253.94.35:6635
CCTV-17高清,rtp://239.253.93.150:6318
CCTV-5+高清,rtp://239.253.92.82:8013
CGTN,rtp://239.253.92.15:8011
河北卫视高清,rtp://239.253.92.154:6011
河北经济生活高清,rtp://239.253.92.171:6001
河北都市高清,rtp://239.253.92.172:6002
河北影视剧高清,rtp://239.253.92.173:6003
河北少儿科教高清,rtp://239.253.92.174:6004
河北文旅·公共高清,rtp://239.253.92.175:6005
河北三农高清,rtp://239.253.92.176:6006
三佳购物高清,rtp://239.253.92.24:8130
睛彩河北,rtp://239.253.92.104:6221
中国交通频道,rtp://239.253.93.189:6357
湖南卫视高清,rtp://239.253.92.84:8015
浙江卫视高清,rtp://239.253.92.90:8020
江苏卫视高清,rtp://239.253.92.88:8018
北京卫视高清,rtp://239.253.92.87:8014
东南卫视高清,rtp://239.253.92.201:6146
东方卫视高清,rtp://239.253.92.89:8019
天津卫视高清,rtp://239.253.92.91:8021
深圳卫视高清,rtp://239.253.92.86:8017
山东卫视高清,rtp://239.253.92.207:8109
广东卫视高清,rtp://239.253.92.206:8108
黑龙江卫视高清,rtp://239.253.92.85:8016
辽宁卫视高清,rtp://239.253.92.115:6056
安徽卫视高清,rtp://239.253.92.209:6566
湖北卫视高清,rtp://239.253.92.210:6567
四川卫视高清,rtp://239.253.92.16:6043
重庆卫视高清,rtp://239.253.92.10:6053
河南卫视高清,rtp://239.253.92.137:6144
金鹰纪实高清,rtp://239.253.92.103:6054
广西卫视高清,rtp://239.253.92.76:8043
中国教育-1高清,rtp://239.253.92.211:6069
贵州卫视高清,rtp://239.253.92.105:6055
江西卫视高清,rtp://239.253.92.19:6145
吉林卫视高清,rtp://239.253.92.202:6147
海南卫视高清,rtp://239.253.93.155:6323
优购物,rtp://239.253.93.97:6263
中华特产,rtp://239.253.93.242:6420
家有购物,rtp://239.253.93.99:6265
聚鲨环球精选,rtp://239.253.93.100:6266
优购物精选,rtp://239.253.94.37:6572
央广购物,rtp://239.253.93.191:6369
中视购物,rtp://239.253.94.54:6583
test专用,rtp://239.253.93.230:6570
河北杂技频道,rtp://239.253.93.170:6338
石家庄新闻综合高清,rtp://239.253.92.149:6035
石家庄城市服务,rtp://239.253.92.94:8121
石家庄文化娱乐,rtp://239.253.92.93:8120
云南卫视,rtp://239.253.92.28:8030
山西卫视,rtp://239.253.92.44:8046
陕西卫视,rtp://239.253.92.36:8045
内蒙古卫视,rtp://239.253.92.45:8047
青海卫视,rtp://239.253.92.47:8048
宁夏卫视,rtp://239.253.92.32:8050
西藏卫视高清,rtp://239.253.94.57:6639
新疆卫视高清,rtp://239.253.94.58:6640
甘肃卫视,rtp://239.253.94.33:6633
kaku 少儿,rtp://239.253.92.162:8054
金鹰卡通,rtp://239.253.92.163:8055
嘉佳卡通,rtp://239.253.93.203:6381
优漫卡通,rtp://239.253.93.204:6382
宁夏卫视高清,rtp://239.253.94.60:6642
山东教育,rtp://239.253.92.106:6135
兵团卫视高清,rtp://239.253.94.59:6641
延边卫视,rtp://239.253.92.120:6649
三沙卫视,rtp://239.253.94.32:6632
北京卫视4K,rtp://239.253.94.41:6466
北京卫视超高清,rtp://239.253.94.42:6467
深圳卫视超高清,rtp://239.253.94.55:6584
广东卫视超高清,rtp://239.253.94.56:6585
湖南卫视超高清,rtp://239.253.93.37:6643
江苏卫视超高清,rtp://239.253.93.39:6644
浙江卫视超高清,rtp://239.253.93.41:6645
东方卫视超高清,rtp://239.253.93.43:6646
四川卫视超高清,rtp://239.253.93.45:6647
山东卫视超高清,rtp://239.253.93.49:6648
电视指南,rtp://239.253.92.17:6078
第一剧场,rtp://239.253.92.18:6079
风云剧场,rtp://239.253.92.22:6073
怀旧剧场,rtp://239.253.92.98:6120
风云音乐,rtp://239.253.92.111:8060
风云足球,rtp://239.253.92.110:8061
高尔夫网球,rtp://239.253.92.117:8062
武术世界,rtp://239.253.92.141:8064
兵器科技,rtp://239.253.92.119:8065
世界地理,rtp://239.253.92.113:8066
老故事,rtp://239.253.92.132:8068
环球奇观,rtp://239.253.92.130:8069
文物宝库,rtp://239.253.92.159:8070
国学,rtp://239.253.92.158:8071
女性时尚,rtp://239.253.92.249:6103
文化精品,rtp://239.253.92.25:6104
早期教育,rtp://239.253.92.39:6107
梨园,rtp://239.253.92.152:8086
卫生健康,rtp://239.253.94.38:6636
汽摩,rtp://239.253.92.46:6110
CETV-2,rtp://239.253.92.108:6136
CETV-4高清,rtp://239.253.92.200:6137
中学生,rtp://239.253.92.27:6106
快乐垂钓高清,rtp://239.253.93.213:6391
先锋乒羽,rtp://239.253.93.219:6397
发现之旅,rtp://239.253.94.30:6629
环球旅游,rtp://239.253.93.220:6398
欢笑剧场超高清,rtp://239.253.94.45:6574
游戏风云,rtp://239.253.94.51:6580
欢笑剧场4K,rtp://239.253.94.44:6573
乐游,rtp://239.253.94.48:6577
动漫秀场,rtp://239.253.94.50:6579
生活时尚,rtp://239.253.94.49:6578
都市剧场,rtp://239.253.94.46:6575
茶频道高清,rtp://239.253.93.212:6390
天元围棋,rtp://239.253.93.211:6389
书画,rtp://239.253.93.214:6392
央视台球高清,rtp://239.253.93.231:6409
陶瓷,rtp://239.253.92.221:6152
东方财经,rtp://239.253.94.47:6576
金色学堂,rtp://239.253.94.52:6581
法治天地,rtp://239.253.94.53:6582
四海钓鱼,rtp://239.253.93.243:6421
优优宝贝,rtp://239.253.93.244:6422
生态环境,rtp://239.253.93.245:6423
财富天下,rtp://239.253.93.247:6425
CHC家庭影院,rtp://239.253.92.139:6115
CHC影迷电影,rtp://239.253.92.112:6116
CHC动作电影,rtp://239.253.92.134:6117
电视指南高清,rtp://239.253.93.249:6427
第一剧场高清,rtp://239.253.93.138:6428
风云剧场高清,rtp://239.253.93.251:6429
怀旧剧场高清,rtp://239.253.93.252:6430
风云音乐高清,rtp://239.253.93.253:6431
风云足球高清,rtp://239.253.93.254:6432
高尔夫网球高清,rtp://239.253.93.122:6465
武术世界高清,rtp://239.253.93.46:6434
兵器科技高清,rtp://239.253.93.47:6435
世界地理高清,rtp://239.253.92.131:6113
文物宝库高清,rtp://239.253.93.180:6437
女性时尚高清,rtp://239.253.92.144:6114
文化精品高清,rtp://239.253.93.175:6439
早期教育高清,rtp://239.253.93.164:6440
梨园高清,rtp://239.253.93.133:6441
CCTV-4K,rtp://239.253.93.134:6631
CCTV4中文国际欧洲,rtp://239.253.93.192:6370
CCTV4中文国际美洲,rtp://239.253.93.193:6371
